,tot_med,tot_lo,tot_hi,type,age_group
df_nonhosp2,1330777.566,1036125.951,1625156.558,nonhospitalisation,"[20,30)"
df_nonhosp_acute2,555217.8543,426474.9681,689246.6412,nonhosp_acute,"[20,30)"
df_nonhosp_chronic_6m2,258122.7139,200177.0678,321404.5775,nonhosp_chronic_6m,"[20,30)"
df_nonhosp_chronic_12m2,112301.5473,81020.14426,149457.2488,nonhosp_chronic_12m,"[20,30)"
df_nonhosp_chronic_30m2,8869.938361,3931.137113,17943.81529,nonhosp_chronic_30m,"[20,30)"
df_nonhosp_subac2,392241.4987,305517.7088,481453.5622,nonhosp_subac,"[20,30)"
df_yld_hosp_chronic2,3240.709821,1071.613447,6746.780985,yld_hosp_chronic,"[20,30)"
df_yld_hosp_acute2,71.96923506,27.81314039,177.6244673,yld_hosp_acute,"[20,30)"
df_yld_hosp_subac2,536.5235536,174.7154625,1449.34527,yld_hosp_subac,"[20,30)"
df_yld_nh_chronic2,79317.45348,28238.67843,158260.2138,yld_nh_chronic,"[20,30)"
df_yld_nh_acute2,1720.655752,712.1358379,4007.641989,yld_nh_acute,"[20,30)"
df_yld_nh_subac2,13079.62243,4241.058041,35463.28199,yld_nh_subac,"[20,30)"
df_yld_acute2,1797.296757,741.1370851,4174.922626,yld_acute,"[20,30)"
df_yld_subac2,13648.31176,4382.274767,36866.32648,yld_subac,"[20,30)"
df_yld_chronic2,82551.58979,29377.37142,165581.6367,yld_chronic,"[20,30)"
df_yll2,53595.3687,34988.52109,80791.83259,yll,"[20,30)"
df_daly2,155249.1519,92482.40942,247151.0961,daly,"[20,30)"
symp3,1057900.258,820043.3684,1292100.952,symptomatic,"[30,40)"
asymp3,960038.9067,725838.2122,1197895.796,asymptomatic,"[30,40)"
df_hosp3,41994.47403,29191.99539,57200.21192,hospitalisation,"[30,40)"
df_hosp_acute3,17523.14634,12074.9921,23908.72557,hospitalisation_acute,"[30,40)"
df_hosp_chronic_6m3,8155.021648,5603.836496,11162.81262,hospitalisation_chronic6m,"[30,40)"
df_hosp_chronic_12m3,3549.130711,2307.022665,5061.966147,hospitalisation_chronic12m,"[30,40)"
df_hosp_chronic_30m3,278.3411745,116.0746685,587.6389556,hospitalisation_chronic30m,"[30,40)"
df_hosp_subac3,12376.4668,8587.452297,16899.64581,hospitalisation_subacute,"[30,40)"
df_hosp_fatal3,909.4095508,567.9338463,1346.806256,fatal,"[30,40)"
df_nonhosp3,1015665.724,790784.0066,1240339.373,nonhospitalisation,"[30,40)"
df_nonhosp_acute3,423749.0617,325490.9154,526041.4715,nonhosp_acute,"[30,40)"
df_nonhosp_chronic_6m3,197002.4144,152777.588,245299.9064,nonhosp_chronic_6m,"[30,40)"
df_nonhosp_chronic_12m3,85709.91526,61835.5657,114067.6015,nonhosp_chronic_12m,"[30,40)"
df_nonhosp_chronic_30m3,6769.645504,3000.291947,13694.93936,nonhosp_chronic_30m,"[30,40)"
df_nonhosp_subac3,299363.5122,233174.8542,367451.2503,nonhosp_subac,"[30,40)"
df_yld_hosp_chronic3,2473.349402,817.8685042,5149.225794,yld_hosp_chronic,"[30,40)"
df_yld_hosp_acute3,54.92780082,21.22732905,135.5651666,yld_hosp_acute,"[30,40)"
df_yld_hosp_subac3,409.4813414,133.3449819,1106.158049,yld_hosp_subac,"[30,40)"
df_yld_nh_chronic3,60536.05113,21552.10494,120786.132,yld_nh_chronic,"[30,40)"
df_yld_nh_acute3,1313.225527,543.5107866,3058.681429,yld_nh_acute,"[30,40)"
df_yld_nh_subac3,9982.527893,3236.827449,27066.0107,yld_nh_subac,"[30,40)"
df_yld_acute3,1371.718879,565.6448933,3186.352057,yld_acute,"[30,40)"
df_yld_subac3,10416.55855,3344.605793,28136.83143,yld_subac,"[30,40)"
df_yld_chronic3,63004.38357,22421.16936,126373.9314,yld_chronic,"[30,40)"
df_yll3,39046.31912,22352.63641,63218.73809,yll,"[30,40)"
df_daly3,116481.5858,65016.37761,193851.6969,daly,"[30,40)"
symp4,738215.8973,572236.4169,901644.0394,symptomatic,"[40,50)"
asymp4,669927.0281,506498.8861,835906.5085,asymptomatic,"[40,50)"
df_hosp4,29304.26384,20370.53582,39915.01625,hospitalisation,"[40,50)"
df_hosp_acute4,10032.16496,6900.532493,13705.11093,hospitalisation_acute,"[40,50)"
df_hosp_chronic_6m4,6355.731781,4413.749122,8668.265651,hospitalisation_chronic6m,"[40,50)"
df_hosp_chronic_12m4,3854.724437,2560.982705,5365.456673,hospitalisation_chronic12m,"[40,50)"
df_hosp_chronic_30m4,837.5859709,442.8415972,1500.945326,hospitalisation_chronic30m,"[40,50)"
df_hosp_subac4,8152.889783,5628.565544,11080.08324,hospitalisation_subacute,"[40,50)"
df_hosp_fatal4,714.6265307,490.2613642,981.5693874,fatal,"[40,50)"
df_nonhosp4,708744.1169,551818.8708,865524.1698,nonhospitalisation,"[40,50)"
df_nonhosp_acute4,242578.99,186207.6092,302149.0212,nonhosp_acute,"[40,50)"
df_nonhosp_chronic_6m4,153598.9937,119679.9127,189123.9564,nonhosp_chronic_6m,"[40,50)"
df_nonhosp_chronic_12m4,93370.28351,70117.75943,117768.9315,nonhosp_chronic_12m,"[40,50)"
df_nonhosp_chronic_30m4,20437.1428,11677.69124,34472.59839,nonhosp_chronic_30m,"[40,50)"
df_nonhosp_subac4,197064.2215,152474.7671,243529.8954,nonhosp_subac,"[40,50)"
df_yld_hosp_chronic4,2642.812895,882.4106773,5461.674867,yld_hosp_chronic,"[40,50)"
df_yld_hosp_acute4,31.46640313,12.1063263,77.23610999,yld_hosp_acute,"[40,50)"
df_yld_hosp_subac4,270.1875098,87.44953962,731.9468366,yld_hosp_subac,"[40,50)"
df_yld_nh_chronic4,64204.90019,23421.29237,129348.414,yld_nh_chronic,"[40,50)"
df_yld_nh_acute4,751.4729071,310.5712406,1756.695605,yld_nh_acute,"[40,50)"
df_yld_nh_subac4,6577.81612,2180.145677,17895.79522,yld_nh_subac,"[40,50)"
df_yld_acute4,785.4938653,322.3131509,1829.922922,yld_acute,"[40,50)"
df_yld_subac4,6852.62046,2252.734773,18648.87116,yld_subac,"[40,50)"
df_yld_chronic4,66850.19989,24651.49596,134731.3321,yld_chronic,"[40,50)"
df_yll4,24122.06259,15693.49428,34962.33461,yll,"[40,50)"
df_daly4,100567.404,54548.95002,170570.8016,daly,"[40,50)"
symp5,493704.023,382700.2761,603001.4844,symptomatic,"[50,60)"
asymp5,448033.7586,338736.2973,559037.5056,asymptomatic,"[50,60)"
df_hosp5,19598.10511,13623.40689,26694.36528,hospitalisation,"[50,60)"
df_hosp_acute5,6709.311235,4614.938313,9165.704861,hospitalisation_acute,"[50,60)"
df_hosp_chronic_6m5,4250.586209,2951.827176,5797.162964,hospitalisation_chronic6m,"[50,60)"
df_hosp_chronic_12m5,2577.962558,1712.734182,3588.31028,hospitalisation_chronic12m,"[50,60)"
df_hosp_chronic_30m5,560.1607667,296.1636099,1003.802089,hospitalisation_chronic30m,"[50,60)"
df_hosp_subac5,5452.489507,3764.272261,7410.138641,hospitalisation_subacute,"[50,60)"
df_hosp_fatal5,620.1001908,404.8640594,903.9671819,fatal,"[50,60)"
df_nonhosp5,473993.8846,369045.4233,578845.242,nonhospitalisation,"[50,60)"
df_nonhosp_acute5,162231.9771,124531.9225,202071.2181,nonhosp_acute,"[50,60)"
df_nonhosp_chronic_6m5,102723.9337,80039.53153,126482.3125,nonhosp_chronic_6m,"[50,60)"
df_nonhosp_chronic_12m5,62444.17662,46893.35394,78761.5048,nonhosp_chronic_12m,"[50,60)"
df_nonhosp_chronic_30m5,13667.95173,7809.806005,23054.58131,nonhosp_chronic_30m,"[50,60)"
df_nonhosp_subac5,131792.6091,101972.0748,162867.9158,nonhosp_subac,"[50,60)"
df_yld_hosp_chronic5,1767.460407,590.1386622,3652.658887,yld_hosp_chronic,"[50,60)"
df_yld_hosp_acute5,21.04409967,8.096468239,51.65396105,yld_hosp_acute,"[50,60)"
df_yld_hosp_subac5,180.6959925,58.48452608,489.5114017,yld_hosp_subac,"[50,60)"
df_yld_nh_chronic5,42938.95348,15663.68941,86505.62882,yld_nh_chronic,"[50,60)"
df_yld_nh_acute5,502.5700424,207.703831,1174.842976,yld_nh_acute,"[50,60)"
df_yld_nh_subac5,4399.111656,1458.038108,11968.34831,yld_nh_subac,"[50,60)"
df_yld_acute5,525.3225695,215.5565874,1223.815933,yld_acute,"[50,60)"
df_yld_subac5,4582.895296,1506.584311,12471.99026,yld_subac,"[50,60)"
df_yld_chronic5,44708.07691,16486.42425,90105.61606,yld_chronic,"[50,60)"
df_yll5,15648.50633,9382.998351,24839.27382,yll,"[50,60)"
df_daly5,66630.65043,35572.64782,114637.8457,daly,"[50,60)"
symp6,278647.6512,215996.8935,340335.3766,symptomatic,"[60,70)"
asymp6,252871.2341,191183.5087,315521.9918,asymptomatic,"[60,70)"
df_hosp6,11061.21407,7689.081261,15066.35977,hospitalisation,"[60,70)"
df_hosp_acute6,3786.750227,2604.681594,5173.144701,hospitalisation_acute,"[60,70)"
df_hosp_chronic_6m6,2399.040306,1666.017873,3271.931865,hospitalisation_chronic6m,"[60,70)"
df_hosp_chronic_12m6,1455.007801,966.6710857,2025.250425,hospitalisation_chronic12m,"[60,70)"
df_hosp_chronic_30m6,316.1559992,167.1554064,566.5480762,hospitalisation_chronic30m,"[60,70)"
df_hosp_subac6,3077.397197,2124.563776,4182.299099,hospitalisation_subacute,"[60,70)"
df_hosp_fatal6,602.2757358,421.2893254,811.8152662,fatal,"[60,70)"
df_nonhosp6,267523.2044,208290.0609,326701.5416,nonhospitalisation,"[60,70)"
df_nonhosp_acute6,91564.09045,70286.09407,114049.4448,nonhosp_acute,"[60,70)"
df_nonhosp_chronic_6m6,57977.617,45174.49018,71386.89609,nonhosp_chronic_6m,"[60,70)"
df_nonhosp_chronic_12m6,35243.63198,26466.71311,44453.16867,nonhosp_chronic_12m,"[60,70)"
df_nonhosp_chronic_30m6,7714.222165,4407.871781,13012.05563,nonhosp_chronic_30m,"[60,70)"
df_nonhosp_subac6,74384.04257,57553.26691,91923.01167,nonhosp_subac,"[60,70)"
df_yld_hosp_chronic6,997.5586017,333.075605,2061.568821,yld_hosp_chronic,"[60,70)"
df_yld_hosp_acute6,11.87733614,4.569664419,29.15360866,yld_hosp_acute,"[60,70)"
df_yld_hosp_subac6,101.9852165,33.00880905,276.2813269,yld_hosp_subac,"[60,70)"
df_yld_nh_chronic6,24234.84145,8840.620007,48823.96839,yld_nh_chronic,"[60,70)"
df_yld_nh_acute6,283.6516505,117.2285046,663.0840464,yld_nh_acute,"[60,70)"
df_yld_nh_subac6,2482.868339,822.9201116,6754.961688,yld_nh_subac,"[60,70)"
df_yld_acute6,296.4932227,121.6606187,690.7244892,yld_acute,"[60,70)"
df_yld_subac6,2586.596233,850.3197316,7039.218247,yld_subac,"[60,70)"
df_yld_chronic6,25233.33861,9304.973014,50855.80885,yld_chronic,"[60,70)"
df_yll6,10519.94204,7031.1526,14966.41987,yll,"[60,70)"
df_daly6,39483.42481,21826.08574,65634.14413,daly,"[60,70)"
symp7,115904.1895,89844.45109,141563.3519,symptomatic,"[70,80)"
asymp7,105182.4184,79523.25601,131242.1568,asymptomatic,"[70,80)"
df_hosp7,4600.939693,3198.292651,6266.890297,hospitalisation,"[70,80)"
df_hosp_acute7,1575.108258,1083.423881,2151.782655,hospitalisation_acute,"[70,80)"
df_hosp_chronic_6m7,997.8868248,692.984324,1360.968318,hospitalisation_chronic6m,"[70,80)"
df_hosp_chronic_12m7,605.2141406,402.0892929,842.4080274,hospitalisation_chronic12m,"[70,80)"
df_hosp_chronic_30m7,131.5058852,69.52871213,235.6570744,hospitalisation_chronic30m,"[70,80)"
df_hosp_subac7,1280.051072,883.7176695,1739.637905,hospitalisation_subacute,"[70,80)"
df_hosp_fatal7,603.1534576,430.067429,811.2572227,fatal,"[70,80)"
df_nonhosp7,111276.9477,86638.77371,135892.3246,nonhospitalisation,"[70,80)"
df_nonhosp_acute7,38086.31339,29235.67695,47439.15226,nonhosp_acute,"[70,80)"
df_nonhosp_chronic_6m7,24115.93517,18790.44256,29693.55754,nonhosp_chronic_6m,"[70,80)"
df_nonhosp_chronic_12m7,14659.67697,11008.89559,18490.40695,nonhosp_chronic_12m,"[70,80)"
df_nonhosp_chronic_30m7,3208.749978,1833.465281,5412.39672,nonhosp_chronic_30m,"[70,80)"
df_nonhosp_subac7,30940.22915,23939.42591,38235.60631,nonhosp_subac,"[70,80)"
df_yld_hosp_chronic7,414.9370052,138.5436423,857.5147228,yld_hosp_chronic,"[70,80)"
df_yld_hosp_acute7,4.940407562,1.900763282,12.12651599,yld_hosp_acute,"[70,80)"
df_yld_hosp_subac7,42.42100525,13.73010075,114.9199111,yld_hosp_subac,"[70,80)"
df_yld_nh_chronic7,10080.54321,3677.277686,20308.45169,yld_nh_chronic,"[70,80)"
df_yld_nh_acute7,117.985615,48.76149033,275.8114887,yld_nh_acute,"[70,80)"
df_yld_nh_subac7,1032.755287,342.2957328,2809.743014,yld_nh_subac,"[70,80)"
df_yld_acute7,123.3270976,50.60503957,287.3085991,yld_acute,"[70,80)"
df_yld_subac7,1075.901164,353.6926845,2927.980216,yld_subac,"[70,80)"
df_yld_chronic7,10495.8706,3870.426368,21153.60072,yld_chronic,"[70,80)"
df_yll7,6623.203078,4566.499332,9407.278596,yll,"[70,80)"
df_daly7,18626.67557,11105.61154,30444.66678,daly,"[70,80)"
symp8,38047.66299,29493.07975,46470.7497,symptomatic,"[80,90)"
asymp8,34528.04256,26104.95585,43082.62581,asymptomatic,"[80,90)"
df_hosp8,1510.342295,1049.897872,2057.221078,hospitalisation,"[80,90)"
df_hosp_acute8,517.0579998,355.6536632,706.3619706,hospitalisation_acute,"[80,90)"
df_hosp_chronic_6m8,327.5745352,227.4847435,446.7626923,hospitalisation_chronic6m,"[80,90)"
df_hosp_chronic_12m8,198.6725713,131.9931592,276.535812,hospitalisation_chronic12m,"[80,90)"
df_hosp_chronic_30m8,43.16920677,22.82406815,77.35871825,hospitalisation_chronic30m,"[80,90)"
df_hosp_subac8,420.2000911,290.0964583,571.0679206,hospitalisation_subacute,"[80,90)"
df_hosp_fatal8,429.3828022,309.3499778,566.7258575,fatal,"[80,90)"
df_nonhosp8,36528.6864,28440.75705,44609.13203,nonhospitalisation,"[80,90)"
df_nonhosp_acute8,12502.52682,9597.143769,15572.76625,nonhosp_acute,"[80,90)"
df_nonhosp_chronic_6m8,7916.49529,6168.305328,9747.450927,nonhosp_chronic_6m,"[80,90)"
df_nonhosp_chronic_12m8,4812.306091,3613.870576,6069.813094,nonhosp_chronic_12m,"[80,90)"
df_nonhosp_chronic_30m8,1053.330619,601.8683723,1776.717591,nonhosp_chronic_30m,"[80,90)"
df_nonhosp_subac8,10156.69426,7858.553053,12551.53414,nonhosp_subac,"[80,90)"
df_yld_hosp_chronic8,136.2106374,45.47948182,281.4948397,yld_hosp_chronic,"[80,90)"
df_yld_hosp_acute8,1.621778713,0.623960135,3.980749499,yld_hosp_acute,"[80,90)"
df_yld_hosp_subac8,13.92546736,4.507158304,37.72455578,yld_hosp_subac,"[80,90)"
df_yld_nh_chronic8,3309.122143,1207.133188,6666.619193,yld_nh_chronic,"[80,90)"
df_yld_nh_acute8,38.73092848,16.00684793,90.54015936,yld_nh_acute,"[80,90)"
df_yld_nh_subac8,339.0207314,112.3648448,922.349206,yld_nh_subac,"[80,90)"
df_yld_acute8,40.48436658,16.61202675,94.31429465,yld_acute,"[80,90)"
df_yld_subac8,353.1841516,116.106109,961.1627057,yld_subac,"[80,90)"
df_yld_chronic8,3445.460919,1270.537689,6944.054695,yld_chronic,"[80,90)"
df_yll8,2614.507506,1844.446002,3677.559416,yll,"[80,90)"
df_daly8,6529.745408,3593.153238,10885.2076,daly,"[80,90)"
