,tot_med,tot_lo,tot_hi,type,age_group
df_nonhosp2,3047828.395,2377549.081,3717003.847,nonhospitalisation,"[20,30)"
df_nonhosp_acute2,1268490.571,985086.2428,1584707.114,nonhosp_acute,"[20,30)"
df_nonhosp_chronic_6m2,595136.4682,458658.3409,730481.4132,nonhosp_chronic_6m,"[20,30)"
df_nonhosp_chronic_12m2,259517.8712,182519.3802,338533.7411,nonhosp_chronic_12m,"[20,30)"
df_nonhosp_chronic_30m2,20321.06693,8937.372882,40424.04124,nonhosp_chronic_30m,"[20,30)"
df_nonhosp_subac2,899483.5111,696854.6079,1094569.522,nonhosp_subac,"[20,30)"
df_yld_hosp_chronic2,7539.565371,2703.802424,15602.23821,yld_hosp_chronic,"[20,30)"
df_yld_hosp_acute2,164.687284,63.60133739,410.7040882,yld_hosp_acute,"[20,30)"
df_yld_hosp_subac2,1239.043464,426.221607,3450.524051,yld_hosp_subac,"[20,30)"
df_yld_nh_chronic2,181437.3378,64868.63147,354783.7317,yld_nh_chronic,"[20,30)"
df_yld_nh_acute2,4012.083839,1589.964119,9395.72435,yld_nh_acute,"[20,30)"
df_yld_nh_subac2,29959.06392,10591.24998,81574.87014,yld_nh_subac,"[20,30)"
df_yld_acute2,4162.356566,1655.096431,9758.374818,yld_acute,"[20,30)"
df_yld_subac2,31355.10466,11054.07419,85051.89995,yld_subac,"[20,30)"
df_yld_chronic2,189061.8667,67723.64546,368244.1493,yld_chronic,"[20,30)"
df_yll2,123053.1829,80284.28251,182320.3829,yll,"[20,30)"
df_daly2,355951.6785,209294.3421,554952.9664,daly,"[20,30)"
symp3,2338106.11,1815857.011,2852287.344,symptomatic,"[30,40)"
asymp3,2121682.749,1607501.514,2643931.847,asymptomatic,"[30,40)"
df_hosp3,91743.36538,65604.07415,129284.1698,hospitalisation,"[30,40)"
df_hosp_acute3,38417.5148,26989.56361,54514.89546,hospitalisation_acute,"[30,40)"
df_hosp_chronic_6m3,17885.27258,12564.50909,25214.18951,hospitalisation_chronic6m,"[30,40)"
df_hosp_chronic_12m3,7734.297377,5243.662658,11508.93016,hospitalisation_chronic12m,"[30,40)"
df_hosp_chronic_30m3,623.4907002,253.1027764,1264.952449,hospitalisation_chronic30m,"[30,40)"
df_hosp_subac3,27063.99559,19412.09628,37953.17846,hospitalisation_subacute,"[30,40)"
df_hosp_fatal3,1990.540122,1364.501753,2835.282368,fatal,"[30,40)"
